sample	count (>0)	mean	median	sum	p25	p75	min	max
SRX546017	1	2863.3690258287684	2863.3690258287684	2863.3690258287684	2863.3690258287684	2863.3690258287684	2863.3690258287684	2863.3690258287684
SRX1130453	1	2818.693016066396	2818.693016066396	2818.693016066396	2818.693016066396	2818.693016066396	2818.693016066396	2818.693016066396
SRX1130460	1	2810.391922752299	2810.391922752299	2810.391922752299	2810.391922752299	2810.391922752299	2810.391922752299	2810.391922752299
SRX1130456	1	2631.1479002724577	2631.1479002724577	2631.1479002724577	2631.1479002724577	2631.1479002724577	2631.1479002724577	2631.1479002724577
SRX1130454	1	2621.84951682233	2621.84951682233	2621.84951682233	2621.84951682233	2621.84951682233	2621.84951682233	2621.84951682233
SRX1130470	1	2617.72754823803	2617.72754823803	2617.72754823803	2617.72754823803	2617.72754823803	2617.72754823803	2617.72754823803
SRX546015	1	2524.339654641576	2524.339654641576	2524.339654641576	2524.339654641576	2524.339654641576	2524.339654641576	2524.339654641576
SRX546016	1	2461.478643565584	2461.478643565584	2461.478643565584	2461.478643565584	2461.478643565584	2461.478643565584	2461.478643565584
SRX3154231	1	2447.774568919241	2447.774568919241	2447.774568919241	2447.774568919241	2447.774568919241	2447.774568919241	2447.774568919241
SRX1130467	1	2433.95682203272	2433.95682203272	2433.95682203272	2433.95682203272	2433.95682203272	2433.95682203272	2433.95682203272
SRX1130462	1	2406.0861462288417	2406.0861462288417	2406.0861462288417	2406.0861462288417	2406.0861462288417	2406.0861462288417	2406.0861462288417
SRX2349198	1	2201.266269499112	2201.266269499112	2201.266269499112	2201.266269499112	2201.266269499112	2201.266269499112	2201.266269499112
SRX1130455	1	2100.3990758244067	2100.3990758244067	2100.3990758244067	2100.3990758244067	2100.3990758244067	2100.3990758244067	2100.3990758244067
SRX1130468	1	2079.8664860681115	2079.8664860681115	2079.8664860681115	2079.8664860681115	2079.8664860681115	2079.8664860681115	2079.8664860681115
SRX1130452	1	2058.460271716756	2058.460271716756	2058.460271716756	2058.460271716756	2058.460271716756	2058.460271716756	2058.460271716756
SRX1130457	1	1850.7265889043774	1850.7265889043774	1850.7265889043774	1850.7265889043774	1850.7265889043774	1850.7265889043774	1850.7265889043774
SRX3154229	1	1529.7834097916088	1529.7834097916088	1529.7834097916088	1529.7834097916088	1529.7834097916088	1529.7834097916088	1529.7834097916088
