sample	count (>0)	mean	median	sum	p25	p75	min	max
SRX6980073	6	2623.0068939959983	28.432546473057876	15738.04136397599	1.557116698737878	146.8543047562918	0.08088917915521444	15502.168517559385
SRX6979990	5	2580.7700000515642	77.28759954485803	15484.620000309385	0.14538675610394666	1498.8502233780277	0.0	13382.909054070733
SRX6979867	6	2579.4731290934146	11.787243091143207	15476.838774560489	4.266981998993841	373.63203150305736	0.28289383418743697	14956.974205268709
SRX6979697	6	2561.313319466173	21.432597261783506	15367.87991679704	5.257052158550671	470.253425298047	1.4153601965328728	14703.873790309332
SRX6979819	5	2415.8956248670274	509.46719786989024	14495.373749202165	12.143103330282944	3624.115008301538	0.0	8967.740003199882
SRX6979640	5	2387.06091969443	16.395185384655118	14322.365518166582	2.342169340665017	316.7784033249436	0.0	13875.011174099564
SRX6980284	6	2379.5234443423337	23.525658079081857	14277.140666054001	0.8026400991686753	244.11329912647295	0.11070897919567936	13919.107827335176
SRX6979700	6	2367.3795380965726	307.36204442675006	14204.277228579436	5.900971252368061	4547.913255795668	0.36538521686489545	7722.343481396191
SRX6979649	6	2336.6336231202836	1.5797490582478422	14019.801738721702	1.205597965504932	282.7335090827257	0.11085958303493627	13638.999070996697
SRX6979876	5	2323.9981081396213	239.43806369085482	13943.988648837727	16.59900458759371	3458.1397023363397	0.0	8991.752954684676
SRX6980052	6	2204.647491985085	753.8099420743332	13227.88495191051	0.19214694727760268	1788.0496197481782	0.06987161719185551	9838.4128019336
SRX6980296	6	2182.264370621889	2.084156823392481	13093.586223731336	0.4863032587915789	94.58102155681115	0.03969822520747583	12964.011216654135
SRX6980135	6	2155.499350272688	30.177038746923046	12932.996101636127	0.18838222761158857	748.9449429078055	0.035882329068874015	11893.879734130604
SRX6980021	5	2121.235995620684	117.09044054176057	12727.415973724106	0.45805551312180176	3425.396384063975	0.0	8003.489466898963
SRX6980005	6	2079.7063607301693	92.47407250989973	12478.238164381015	2.016568559405913	278.64656272648125	0.07202030569306833	11980.649872347607
SRX6979679	5	2035.9187000558338	14.612756924251732	12215.512200335002	4.4528143417247765	92.7878706842508	0.0	12066.3742777347
SRX6979745	6	2031.3270448552519	129.1515696865594	12187.96226913151	2.6061191607932495	3024.313832437452	0.6296663744198455	7979.237241044018
SRX6979999	5	1990.36541066669	91.14855840152927	11942.19246400014	0.534670314645842	2749.1729159442257	0.0	8154.384271119606
SRX6979885	6	1952.6935592895597	1137.645378931377	11716.161355737358	2.736571990591782	2671.616252023608	0.4657994877603033	6633.031285655496
SRX6980371	5	1917.9847123030631	35.2053785687027	11507.908273818379	1.3398372421159819	94.22751914812224	0.0	11333.544627206458
SRX6980027	6	1912.8845861848447	53.69381284061724	11477.307517109068	0.23183857012356318	1314.1073831743809	0.06182361869961684	9653.201647376873
SRX6979518	6	1888.4842851676951	422.65234048551605	11330.905711006171	1.927225449822286	1793.2242843621939	0.47197357954831504	8373.361937029915
